lecture_id,course_id,title,content
crs008_lec03,crs00008,production costs,analyzing fixed and variable costs for firms.
crs008_lec04,crs00008,perfect competition,market structure with many small price-taking firms.
crs008_lec05,crs00008,monopoly,understanding market power and single-seller dynamics.
crs008_lec06,crs00008,oligopoly,competition between a small number of large firms.
crs008_lec07,crs00008,game theory,strategic decision making in competitive scenarios.
crs008_lec08,crs00008,labor markets,how wages and employment levels are determined.
crs008_lec09,crs00008,market failures,situations where free markets yield inefficient outcomes.
crs009_lec00,crs00009,accounting basics,the accounting equation and basic financial terms.
crs009_lec01,crs00009,double entry system,recording transactions using debits and credits.
crs009_lec02,crs00009,journal entries,primary recording of business events in journals.
crs009_lec03,crs00009,ledger and trial balance,organizing accounts and checking for errors.
crs009_lec04,crs00009,financial statements,preparing balance sheets and income statements.
crs009_lec05,crs00009,accrual vs cash basis,different methods for recognizing revenue and expense.
crs009_lec06,crs00009,depreciation,accounting for the wear and tear of assets.
crs009_lec07,crs00009,inventory systems,methods for tracking and valuing business stock.
crs009_lec08,crs00009,internal controls,safeguarding assets and ensuring data accuracy.
crs009_lec09,crs00009,ethics in accounting,standards for professional integrity and reporting.
crs010_lec00,crs00010,financial goals,overview of wealth maximization and firm objectives.
crs010_lec01,crs00010,time value of money,concepts of present and future value of cash.
crs010_lec02,crs00010,risk and return,measuring the relationship between risk and profit.
crs010_lec03,crs00010,capital budgeting,evaluating long-term investment opportunities.
crs010_lec04,crs00010,cost of capital,determining the expense of financing business operations.
crs010_lec05,crs00010,working capital,managing short-term assets and liabilities.
crs010_lec06,crs00010,dividend policy,deciding how much profit to pay to shareholders.
crs010_lec07,crs00010,capital structure,balancing debt and equity for optimal value.
crs010_lec08,crs00010,financial forecasting,predicting future cash flows and capital needs.
crs010_lec09,crs00010,mergers and acquisitions,strategies for corporate growth and restructuring.
crs011_lec00,crs00011,html fundamentals,building the structure of web pages with tags.
crs011_lec01,crs00011,css styling,applying colors  fonts  and layouts to websites.
crs011_lec02,crs00011,responsive design,making sites work on mobile and desktop screens.
crs011_lec03,crs00011,javascript basics,adding interactivity and logic to the frontend.
crs011_lec04,crs00011,dom manipulation,changing web content dynamically with script.
crs011_lec05,crs00011,backend intro,overview of server-side programming and apis.
crs011_lec06,crs00011,web frameworks,using tools like react or vue for development.
crs011_lec07,crs00011,database integration,connecting web apps to data storage systems.
crs011_lec08,crs00011,web security basics,protecting apps from common online threats.
crs011_lec09,crs00011,deployment,hosting websites on the cloud for public access.
crs012_lec00,crs00012,intro to algorithms,understanding steps to solve computational problems.
crs012_lec01,crs00012,complexity analysis,measuring time and space efficiency of code.
crs012_lec02,crs00012,sorting algorithms,methods for arranging data in specific orders.
crs012_lec03,crs00012,linked lists,dynamic data structures for efficient insertions.
crs012_lec04,crs00012,stacks and queues,linear structures for managing data flow.
crs012_lec05,crs00012,hash tables,storing data for near-instant retrieval by key.
crs012_lec06,crs00012,binary search trees,hierarchical structures for fast data searching.
crs012_lec07,crs00012,dynamic programming,solving complex problems by breaking them down.
crs012_lec08,crs00012,graph algorithms,searching and finding paths in complex networks.
crs012_lec09,crs00012,greedy algorithms,making locally optimal choices for global solutions.
crs013_lec00,crs00013,history of ai,the evolution of artificial intelligence research.
crs013_lec01,crs00013,search strategies,finding solutions in large state spaces.
crs013_lec02,crs00013,knowledge representation,how computers store and use logical facts.
crs013_lec03,crs00013,machine learning intro,basics of training models from historical data.
crs013_lec04,crs00013,natural language intro,overview of computer processing of human speech.
crs013_lec05,crs00013,computer vision,enabling machines to see and interpret images.
crs013_lec06,crs00013,expert systems,mimicking human decision-making in specific fields.
crs013_lec07,crs00013,robotics basics,combining ai with physical motion and sensing.
crs013_lec08,crs00013,ethics in ai,addressing bias and fairness in automated systems.
crs013_lec09,crs00013,future of ai,trends in generative models and autonomous agents.
crs014_lec00,crs00014,banking structure,overview of commercial bank roles in finance.
crs014_lec01,crs00014,deposit accounts,managing savings  checking  and time deposits.
crs014_lec02,crs00014,lending operations,principles of personal and business loan processing.
crs014_lec03,crs00014,credit analysis,evaluating the creditworthiness of bank borrowers.
crs014_lec04,crs00014,bank liquidity,ensuring banks have enough cash for withdrawals.
crs014_lec05,crs00014,asset liability management,balancing bank resources for maximum profit.
crs014_lec06,crs00014,payment systems,mechanisms for transferring money between banks.
crs014_lec07,crs00014,risk management,identifying and mitigating credit and market risks.
crs014_lec08,crs00014,banking technology,impact of fintech and online banking systems.
crs014_lec09,crs00014,international banking,global financial services and currency exchange.
crs015_lec00,crs00015,investment basics,principles of saving and wealth accumulation.
crs015_lec01,crs00015,security markets,how stocks and bonds are traded in markets.
crs015_lec02,crs00015,stock valuation,methods for determining the fair price of shares.
crs015_lec03,crs00015,bond analysis,evaluating fixed-income securities and interest rates.
crs015_lec04,crs00015,portfolio theory,diversification strategies to manage investment risk.
crs015_lec05,crs00015,mutual funds,overview of pooled investment vehicles and etfs.
crs015_lec06,crs00015,derivative markets,basics of options and futures for hedging risk.
crs015_lec07,crs00015,efficient market theory,how stock prices reflect all available data.
crs015_lec08,crs00015,behavioral finance,psychological factors influencing investor choices.
crs015_lec09,crs00015,wealth management,long-term planning for financial independence.
