Assignment ID,Course ID,Instructor ID,Shift
asg0000051,crs00013,ins00005,Thu-2
asg0000052,crs00013,ins00005,Thu-3
asg0000053,crs00001,ins00005,Fri-1
asg0000054,crs00001,ins00005,Fri-3
asg0000055,crs00013,ins00006,Tue-0
asg0000056,crs00013,ins00006,Thu-0
asg0000057,crs00001,ins00006,Thu-2
asg0000058,crs00001,ins00006,Fri-0
asg0000059,crs00001,ins00006,Fri-1
asg0000060,crs00013,ins00007,Mon-2
asg0000061,crs00001,ins00007,Mon-3
asg0000062,crs00001,ins00007,Tue-0
asg0000063,crs00001,ins00007,Tue-2
asg0000064,crs00001,ins00007,Wed-2
asg0000065,crs00001,ins00007,Wed-3
asg0000066,crs00001,ins00007,Thu-2
asg0000067,crs00013,ins00007,Fri-0
asg0000068,crs00013,ins00007,Fri-1
asg0000069,crs00013,ins00007,Sat-1
asg0000070,crs00001,ins00007,Sat-3
asg0000071,crs00003,ins00008,Mon-1
asg0000072,crs00003,ins00008,Mon-2
asg0000073,crs00003,ins00008,Tue-2
asg0000074,crs00003,ins00008,Tue-3
asg0000075,crs00003,ins00008,Wed-2
asg0000076,crs00003,ins00008,Thu-0
asg0000077,crs00003,ins00008,Thu-2
asg0000078,crs00003,ins00008,Fri-3
asg0000079,crs00003,ins00008,Sat-3
asg0000080,crs00003,ins00009,Mon-1
asg0000081,crs00003,ins00009,Mon-3
asg0000082,crs00003,ins00009,Thu-2
asg0000083,crs00003,ins00009,Thu-3
asg0000084,crs00003,ins00009,Fri-1
asg0000085,crs00003,ins00009,Sat-0
asg0000086,crs00003,ins00009,Sat-2
asg0000087,crs00003,ins00010,Mon-0
asg0000088,crs00003,ins00010,Tue-1
asg0000089,crs00003,ins00010,Tue-2
asg0000090,crs00003,ins00010,Wed-0
asg0000091,crs00003,ins00010,Thu-1
asg0000092,crs00003,ins00010,Thu-2
asg0000093,crs00003,ins00010,Fri-2
asg0000094,crs00003,ins00010,Sat-0
asg0000095,crs00003,ins00011,Mon-2
asg0000096,crs00003,ins00011,Mon-3
asg0000097,crs00003,ins00011,Tue-0
asg0000098,crs00003,ins00011,Tue-1
asg0000099,crs00003,ins00011,Wed-1
asg0000100,crs00003,ins00011,Wed-3
asg0000101,crs00003,ins00011,Thu-2
asg0000102,crs00003,ins00011,Thu-3
asg0000103,crs00003,ins00011,Fri-3
asg0000104,crs00003,ins00011,Sat-0
asg0000105,crs00003,ins00011,Sat-3
asg0000106,crs00006,ins00012,Mon-0
asg0000107,crs00014,ins00012,Mon-1
asg0000108,crs00014,ins00012,Tue-1
asg0000109,crs00014,ins00012,Tue-3
asg0000110,crs00006,ins00012,Wed-2
asg0000111,crs00014,ins00012,Thu-1
asg0000112,crs00014,ins00012,Fri-2
asg0000113,crs00015,ins00012,Fri-3
asg0000114,crs00006,ins00012,Sat-0
asg0000115,crs00014,ins00012,Sat-3
asg0000116,crs00015,ins00013,Mon-1
asg0000117,crs00010,ins00013,Tue-0
asg0000118,crs00010,ins00013,Tue-3
asg0000119,crs00014,ins00013,Wed-3
asg0000120,crs00006,ins00013,Thu-2
asg0000121,crs00006,ins00013,Thu-3
asg0000122,crs00015,ins00013,Fri-1
asg0000123,crs00015,ins00013,Fri-3
asg0000124,crs00006,ins00013,Sat-0
asg0000125,crs00006,ins00013,Sat-2
asg0000126,crs00010,ins00014,Mon-1
asg0000127,crs00010,ins00014,Mon-2
asg0000128,crs00015,ins00014,Tue-2
asg0000129,crs00014,ins00014,Wed-1
asg0000130,crs00010,ins00014,Thu-0
asg0000131,crs00006,ins00014,Fri-2
asg0000132,crs00006,ins00014,Fri-3
asg0000133,crs00014,ins00014,Sat-0
asg0000134,crs00014,ins00014,Sat-1
asg0000135,crs00006,ins00015,Mon-2
asg0000136,crs00015,ins00015,Mon-3
asg0000137,crs00015,ins00015,Tue-0
asg0000138,crs00015,ins00015,Tue-3
asg0000139,crs00006,ins00015,Wed-2
asg0000140,crs00014,ins00015,Thu-3
asg0000141,crs00010,ins00015,Fri-2
asg0000142,crs00015,ins00015,Fri-3
asg0000143,crs00015,ins00015,Sat-0
asg0000144,crs00014,ins00015,Sat-3
asg0000145,crs00004,ins00016,Mon-1
asg0000146,crs00011,ins00016,Mon-2
asg0000147,crs00012,ins00016,Tue-3
asg0000148,crs00012,ins00016,Wed-3
asg0000149,crs00004,ins00016,Thu-1
asg0000150,crs00012,ins00016,Fri-3
asg0000151,crs00012,ins00016,Sat-0
asg0000152,crs00012,ins00017,Mon-0
asg0000153,crs00004,ins00017,Mon-3
asg0000154,crs00012,ins00017,Tue-0
asg0000155,crs00012,ins00017,Wed-3
asg0000156,crs00012,ins00017,Thu-0
asg0000157,crs00012,ins00017,Thu-2
asg0000158,crs00004,ins00017,Fri-1
asg0000159,crs00012,ins00017,Fri-3
asg0000160,crs00011,ins00018,Mon-2
asg0000161,crs00012,ins00018,Tue-0
asg0000162,crs00004,ins00018,Tue-2
asg0000163,crs00011,ins00018,Wed-0
asg0000164,crs00012,ins00018,Wed-1
asg0000165,crs00011,ins00018,Fri-0
asg0000166,crs00012,ins00018,Fri-1
asg0000167,crs00012,ins00018,Sat-0
asg0000168,crs00004,ins00018,Sat-3
asg0000169,crs00011,ins00019,Mon-2
asg0000170,crs00012,ins00019,Mon-3
asg0000171,crs00004,ins00019,Wed-1
asg0000172,crs00012,ins00019,Wed-2
asg0000173,crs00004,ins00019,Thu-2
asg0000174,crs00004,ins00019,Thu-3
asg0000175,crs00011,ins00019,Fri-0
asg0000176,crs00004,ins00019,Sat-0
asg0000177,crs00004,ins00019,Sat-1
asg0000178,crs00007,ins00020,Mon-0
asg0000179,crs00008,ins00020,Mon-3
asg0000180,crs00007,ins00020,Tue-0
asg0000181,crs00007,ins00020,Tue-3
asg0000182,crs00007,ins00020,Wed-1
asg0000183,crs00007,ins00020,Wed-2
asg0000184,crs00008,ins00020,Thu-0
asg0000185,crs00007,ins00020,Thu-1
asg0000186,crs00008,ins00020,Sat-1
asg0000187,crs00007,ins00020,Sat-3
asg0000188,crs00008,ins00021,Mon-2
asg0000189,crs00008,ins00021,Tue-0
asg0000190,crs00007,ins00021,Tue-3
asg0000191,crs00007,ins00021,Wed-3
asg0000192,crs00007,ins00021,Fri-0
asg0000193,crs00008,ins00021,Sat-2
asg0000194,crs00008,ins00022,Mon-2
asg0000195,crs00007,ins00022,Tue-1
asg0000196,crs00008,ins00022,Wed-0
asg0000197,crs00007,ins00022,Wed-1
asg0000198,crs00007,ins00022,Thu-1
asg0000199,crs00008,ins00022,Fri-1
asg0000200,crs00008,ins00022,Fri-2
asg0000201,crs00008,ins00022,Sat-0
asg0000202,crs00007,ins00022,Sat-3
asg0000203,crs00007,ins00023,Wed-0
asg0000204,crs00007,ins00023,Wed-3
asg0000205,crs00008,ins00023,Thu-0
asg0000206,crs00008,ins00023,Thu-2
asg0000207,crs00007,ins00023,Fri-0
asg0000208,crs00007,ins00023,Fri-3
asg0000209,crs00007,ins00023,Sat-2
asg0000210,crs00008,ins00024,Mon-3
asg0000211,crs00007,ins00024,Tue-0
asg0000212,crs00008,ins00024,Tue-1
asg0000213,crs00008,ins00024,Wed-0
asg0000214,crs00008,ins00024,Wed-2
asg0000215,crs00008,ins00024,Thu-0
asg0000216,crs00007,ins00024,Thu-3
asg0000217,crs00007,ins00024,Fri-2
asg0000218,crs00007,ins00025,Mon-2
asg0000219,crs00008,ins00025,Mon-3
asg0000220,crs00008,ins00025,Tue-1
asg0000221,crs00007,ins00025,Wed-1
asg0000222,crs00007,ins00025,Fri-3
asg0000223,crs00008,ins00025,Sat-2
