Enrollment ID, Student ID, Assignment ID, Enrollment Data
enr0000108,st6700167,asg0000107,2026-05-01
enr0000109,st6700168,asg0000189,2026-05-01
enr0000110,st6700172,asg0000114,2026-05-01
enr0000111,st6500181,asg0000118,2026-05-01
enr0000112,st6600190,asg0000105,2026-05-01
enr0000113,st6700194,asg0000210,2026-05-01
enr0000114,st6700203,asg0000135,2026-05-01
enr0000115,st6700207,asg0000132,2026-05-01
enr0000116,st6700208,asg0000043,2026-05-01
enr0000117,st6600211,asg0000104,2026-05-01
enr0000118,st6600212,asg0000006,2026-05-01
enr0000119,st6700219,asg0000074,2026-05-01
enr0000120,st6700241,asg0000147,2026-05-01
enr0000121,st6500242,asg0000147,2026-05-01
enr0000122,st6600248,asg0000078,2026-05-01
enr0000123,st6500249,asg0000123,2026-05-01
enr0000124,st6700253,asg0000191,2026-05-01
enr0000125,st6700255,asg0000163,2026-05-01
enr0000126,st6500260,asg0000047,2026-05-01
enr0000127,st6600267,asg0000021,2026-05-01
enr0000128,st6600270,asg0000007,2026-05-01
enr0000129,st6500272,asg0000088,2026-05-01
enr0000130,st6600282,asg0000210,2026-05-01
enr0000131,st6500283,asg0000156,2026-05-01
enr0000132,st6500288,asg0000004,2026-05-01
enr0000133,st6600297,asg0000018,2026-05-01
enr0000134,st6600298,asg0000199,2026-05-01
enr0000135,st6500305,asg0000053,2026-05-01
enr0000136,st6600315,asg0000097,2026-05-01
enr0000137,st6500320,asg0000123,2026-05-01
enr0000138,st6500327,asg0000122,2026-05-01
enr0000139,st6500333,asg0000006,2026-05-01
enr0000140,st6600339,asg0000146,2026-05-01
enr0000141,st6700345,asg0000143,2026-05-01
enr0000142,st6600348,asg0000180,2026-05-01
enr0000143,st6700349,asg0000221,2026-05-01
enr0000144,st6600368,asg0000002,2026-05-01
enr0000145,st6700371,asg0000097,2026-05-01
enr0000146,st6700372,asg0000129,2026-05-01
enr0000147,st6500374,asg0000058,2026-05-01
enr0000148,st6700377,asg0000208,2026-05-01
enr0000149,st6700382,asg0000124,2026-05-01
enr0000150,st6500383,asg0000100,2026-05-01
enr0000151,st6600386,asg0000107,2026-05-01
enr0000152,st6500400,asg0000124,2026-05-01
enr0000153,st6700404,asg0000159,2026-05-01
enr0000154,st6700427,asg0000079,2026-05-01
enr0000155,st6500435,asg0000175,2026-05-01
enr0000156,st6500448,asg0000035,2026-05-01
enr0000157,st6500467,asg0000032,2026-05-01
enr0000158,st6500469,asg0000091,2026-05-01
enr0000159,st6500475,asg0000099,2026-05-01
enr0000160,st6600477,asg0000126,2026-05-01
enr0000161,st6500487,asg0000035,2026-05-01
enr0000162,st6700493,asg0000010,2026-05-01
enr0000163,st6700494,asg0000125,2026-05-01
enr0000164,st6600007,asg0000051,2026-05-02
enr0000165,st6600014,asg0000057,2026-05-02
enr0000166,st6600015,asg0000180,2026-05-02
enr0000167,st6500022,asg0000157,2026-05-02
enr0000168,st6700030,asg0000102,2026-05-02
enr0000169,st6700034,asg0000111,2026-05-02
enr0000170,st6600036,asg0000153,2026-05-02
enr0000171,st6600037,asg0000127,2026-05-02
enr0000172,st6600049,asg0000023,2026-05-02
enr0000173,st6500060,asg0000110,2026-05-02
enr0000174,st6700063,asg0000052,2026-05-02
enr0000175,st6600064,asg0000104,2026-05-02
enr0000176,st6600076,asg0000223,2026-05-02
enr0000177,st6600081,asg0000037,2026-05-02
enr0000178,st6500084,asg0000036,2026-05-02
enr0000179,st6500085,asg0000008,2026-05-02
enr0000180,st6500086,asg0000010,2026-05-02
enr0000181,st6500089,asg0000076,2026-05-02
enr0000182,st6600090,asg0000083,2026-05-02
enr0000183,st6700099,asg0000152,2026-05-02
enr0000184,st6600111,asg0000068,2026-05-02
enr0000185,st6700112,asg0000153,2026-05-02
enr0000186,st6700118,asg0000128,2026-05-02
enr0000187,st6500126,asg0000158,2026-05-02
enr0000188,st6600140,asg0000189,2026-05-02
enr0000189,st6600149,asg0000014,2026-05-02
enr0000190,st6500157,asg0000111,2026-05-02
enr0000191,st6600160,asg0000120,2026-05-02
enr0000192,st6600164,asg0000206,2026-05-02
enr0000193,st6700165,asg0000008,2026-05-02
enr0000194,st6700182,asg0000189,2026-05-02
enr0000195,st6500195,asg0000138,2026-05-02
enr0000196,st6600201,asg0000200,2026-05-02
enr0000197,st6500206,asg0000000,2026-05-02
enr0000198,st6600209,asg0000161,2026-05-02
enr0000199,st6500213,asg0000198,2026-05-02
enr0000200,st6700220,asg0000085,2026-05-02
enr0000201,st6700221,asg0000058,2026-05-02
enr0000202,st6600234,asg0000222,2026-05-02
enr0000203,st6500244,asg0000035,2026-05-02
enr0000204,st6500256,asg0000134,2026-05-02
enr0000205,st6700258,asg0000067,2026-05-02
enr0000206,st6600265,asg0000068,2026-05-02
enr0000207,st6500271,asg0000120,2026-05-02
enr0000208,st6500276,asg0000013,2026-05-02
enr0000209,st6700278,asg0000023,2026-05-02
enr0000210,st6600290,asg0000193,2026-05-02
enr0000211,st6500293,asg0000210,2026-05-02
enr0000212,st6700306,asg0000045,2026-05-02
enr0000213,st6600309,asg0000041,2026-05-02
enr0000214,st6600313,asg0000013,2026-05-02
enr0000215,st6500319,asg0000127,2026-05-02
enr0000216,st6500321,asg0000118,2026-05-02
enr0000217,st6700328,asg0000052,2026-05-02
enr0000218,st6500329,asg0000053,2026-05-02
enr0000219,st6500330,asg0000081,2026-05-02
enr0000220,st6700332,asg0000154,2026-05-02
enr0000221,st6600350,asg0000011,2026-05-02
enr0000222,st6700351,asg0000097,2026-05-02
enr0000223,st6500354,asg0000125,2026-05-02
enr0000224,st6500356,asg0000000,2026-05-02
enr0000225,st6700360,asg0000168,2026-05-02
enr0000226,st6600363,asg0000221,2026-05-02
enr0000227,st6600364,asg0000159,2026-05-02
enr0000228,st6500385,asg0000012,2026-05-02
enr0000229,st6500389,asg0000153,2026-05-02
enr0000230,st6500391,asg0000007,2026-05-02
enr0000231,st6500392,asg0000109,2026-05-02
enr0000232,st6600396,asg0000190,2026-05-02
enr0000233,st6500399,asg0000214,2026-05-02
enr0000234,st6500410,asg0000027,2026-05-02
enr0000235,st6700419,asg0000029,2026-05-02
enr0000236,st6600421,asg0000061,2026-05-02
enr0000237,st6500428,asg0000176,2026-05-02
enr0000238,st6500432,asg0000122,2026-05-02
enr0000239,st6700433,asg0000063,2026-05-02
enr0000240,st6600437,asg0000112,2026-05-02
enr0000241,st6600442,asg0000000,2026-05-02
enr0000242,st6600445,asg0000160,2026-05-02
enr0000243,st6600454,asg0000127,2026-05-02
enr0000244,st6700458,asg0000163,2026-05-02
enr0000245,st6500459,asg0000093,2026-05-02
enr0000246,st6500462,asg0000053,2026-05-02
enr0000247,st6600466,asg0000031,2026-05-02
enr0000248,st6600470,asg0000159,2026-05-02
enr0000249,st6500476,asg0000098,2026-05-02
enr0000250,st6500480,asg0000205,2026-05-02
enr0000251,st6500481,asg0000038,2026-05-02
enr0000252,st6700489,asg0000028,2026-05-02
enr0000253,st6700499,asg0000029,2026-05-02
enr0000254,st6700006,asg0000056,2026-05-03
enr0000255,st6700012,asg0000190,2026-05-03
enr0000256,st6600033,asg0000188,2026-05-03
enr0000257,st6600035,asg0000045,2026-05-03
enr0000258,st6600039,asg0000191,2026-05-03
enr0000259,st6500046,asg0000063,2026-05-03
enr0000260,st6600061,asg0000195,2026-05-03
enr0000261,st6700072,asg0000144,2026-05-03
enr0000262,st6600074,asg0000199,2026-05-03
enr0000263,st6500078,asg0000128,2026-05-03
enr0000264,st6700082,asg0000004,2026-05-03
enr0000265,st6700088,asg0000116,2026-05-03
enr0000266,st6600097,asg0000184,2026-05-03
enr0000267,st6500098,asg0000003,2026-05-03
enr0000268,st6700113,asg0000069,2026-05-03
enr0000269,st6600117,asg0000108,2026-05-03
enr0000270,st6500120,asg0000061,2026-05-03
enr0000271,st6500124,asg0000055,2026-05-03
enr0000272,st6700134,asg0000094,2026-05-03
enr0000273,st6600139,asg0000056,2026-05-03
enr0000274,st6700146,asg0000090,2026-05-03
enr0000275,st6500173,asg0000155,2026-05-03
enr0000276,st6700174,asg0000146,2026-05-03
enr0000277,st6600177,asg0000019,2026-05-03
enr0000278,st6700180,asg0000014,2026-05-03
enr0000279,st6500198,asg0000197,2026-05-03
enr0000280,st6600202,asg0000179,2026-05-03
enr0000281,st6700204,asg0000207,2026-05-03
enr0000282,st6700222,asg0000126,2026-05-03
enr0000283,st6700226,asg0000071,2026-05-03
enr0000284,st6500228,asg0000189,2026-05-03
enr0000285,st6500235,asg0000113,2026-05-03
enr0000286,st6700238,asg0000097,2026-05-03
enr0000287,st6700243,asg0000038,2026-05-03
enr0000288,st6500246,asg0000042,2026-05-03
enr0000289,st6700274,asg0000012,2026-05-03
enr0000290,st6700277,asg0000071,2026-05-03
enr0000291,st6700280,asg0000177,2026-05-03
enr0000292,st6700287,asg0000209,2026-05-03
enr0000293,st6600296,asg0000016,2026-05-03
enr0000294,st6600300,asg0000152,2026-05-03
enr0000295,st6700301,asg0000200,2026-05-03
enr0000296,st6500304,asg0000101,2026-05-03
enr0000297,st6500314,asg0000114,2026-05-03
enr0000298,st6700317,asg0000113,2026-05-03
enr0000299,st6700318,asg0000105,2026-05-03
enr0000300,st6700324,asg0000082,2026-05-03
enr0000301,st6700343,asg0000046,2026-05-03
enr0000302,st6500352,asg0000119,2026-05-03
enr0000303,st6500353,asg0000038,2026-05-03
enr0000304,st6500362,asg0000015,2026-05-03
enr0000305,st6500365,asg0000062,2026-05-03
enr0000306,st6700367,asg0000006,2026-05-03
enr0000307,st6600375,asg0000202,2026-05-03
enr0000308,st6700376,asg0000121,2026-05-03
enr0000309,st6600384,asg0000061,2026-05-03
enr0000310,st6700393,asg0000148,2026-05-03
enr0000311,st6500394,asg0000115,2026-05-03
enr0000312,st6500395,asg0000208,2026-05-03
enr0000313,st6700403,asg0000016,2026-05-03
enr0000314,st6700416,asg0000179,2026-05-03
enr0000315,st6500417,asg0000127,2026-05-03
enr0000316,st6600426,asg0000160,2026-05-03
enr0000317,st6600439,asg0000071,2026-05-03
enr0000318,st6600446,asg0000119,2026-05-03
enr0000319,st6700447,asg0000054,2026-05-03
enr0000320,st6500450,asg0000020,2026-05-03
enr0000321,st6600453,asg0000210,2026-05-03
enr0000322,st6500464,asg0000096,2026-05-03
enr0000323,st6600474,asg0000213,2026-05-03
enr0000324,st6500478,asg0000139,2026-05-03
enr0000325,st6700482,asg0000015,2026-05-03
enr0000326,st6600497,asg0000024,2026-05-03
enr0000327,st6600002,asg0000119,2026-05-04
enr0000328,st6700005,asg0000209,2026-05-04
enr0000329,st6700008,asg0000061,2026-05-04
enr0000330,st6700011,asg0000145,2026-05-04
enr0000331,st6600013,asg0000116,2026-05-04
enr0000332,st6700017,asg0000079,2026-05-04
enr0000333,st6600018,asg0000140,2026-05-04
enr0000334,st6600023,asg0000185,2026-05-04
enr0000335,st6700024,asg0000160,2026-05-04
enr0000336,st6500027,asg0000098,2026-05-04
enr0000337,st6600029,asg0000075,2026-05-04
enr0000338,st6500040,asg0000117,2026-05-04
enr0000339,st6500052,asg0000193,2026-05-04
enr0000340,st6700055,asg0000179,2026-05-04
enr0000341,st6700067,asg0000156,2026-05-04
enr0000342,st6500083,asg0000116,2026-05-04
enr0000343,st6600093,asg0000197,2026-05-04
enr0000344,st6500094,asg0000021,2026-05-04
enr0000345,st6500095,asg0000030,2026-05-04
enr0000346,st6700114,asg0000197,2026-05-04
enr0000347,st6700116,asg0000006,2026-05-04
enr0000348,st6700119,asg0000129,2026-05-04
enr0000349,st6600121,asg0000041,2026-05-04
enr0000350,st6600123,asg0000012,2026-05-04
enr0000351,st6500128,asg0000175,2026-05-04
enr0000352,st6600130,asg0000162,2026-05-04
enr0000353,st6600145,asg0000041,2026-05-04
enr0000354,st6500148,asg0000081,2026-05-04
enr0000355,st6700153,asg0000093,2026-05-04
enr0000356,st6500170,asg0000141,2026-05-04
enr0000357,st6700175,asg0000119,2026-05-04
enr0000358,st6500178,asg0000203,2026-05-04
enr0000359,st6500183,asg0000075,2026-05-04
enr0000360,st6600196,asg0000150,2026-05-04
enr0000361,st6700210,asg0000026,2026-05-04
enr0000362,st6600214,asg0000120,2026-05-04
enr0000363,st6500215,asg0000003,2026-05-04
enr0000364,st6500218,asg0000056,2026-05-04
enr0000365,st6600223,asg0000096,2026-05-04
enr0000366,st6500224,asg0000030,2026-05-04
enr0000367,st6500233,asg0000145,2026-05-04
enr0000368,st6700240,asg0000062,2026-05-04
enr0000369,st6500259,asg0000101,2026-05-04
enr0000370,st6500266,asg0000117,2026-05-04
enr0000371,st6500284,asg0000017,2026-05-04
enr0000372,st6500285,asg0000141,2026-05-04
enr0000373,st6500291,asg0000031,2026-05-04
enr0000374,st6600294,asg0000194,2026-05-04
enr0000375,st6500302,asg0000100,2026-05-04
enr0000376,st6500310,asg0000030,2026-05-04
enr0000377,st6500311,asg0000187,2026-05-04
enr0000378,st6600312,asg0000015,2026-05-04
enr0000379,st6700325,asg0000074,2026-05-04
enr0000380,st6700331,asg0000116,2026-05-04
enr0000381,st6600334,asg0000196,2026-05-04
enr0000382,st6700335,asg0000140,2026-05-04
enr0000383,st6700338,asg0000208,2026-05-04
enr0000384,st6600344,asg0000131,2026-05-04
enr0000385,st6500347,asg0000103,2026-05-04
enr0000386,st6700359,asg0000139,2026-05-04
enr0000387,st6500361,asg0000039,2026-05-04
enr0000388,st6700379,asg0000183,2026-05-04
enr0000389,st6500401,asg0000191,2026-05-04
enr0000390,st6500407,asg0000183,2026-05-04
enr0000391,st6500408,asg0000161,2026-05-04
enr0000392,st6600415,asg0000136,2026-05-04
enr0000393,st6500418,asg0000222,2026-05-04
enr0000394,st6500420,asg0000049,2026-05-04
enr0000395,st6600429,asg0000079,2026-05-04
enr0000396,st6700430,asg0000115,2026-05-04
enr0000397,st6600431,asg0000079,2026-05-04
enr0000398,st6500434,asg0000065,2026-05-04
enr0000399,st6500443,asg0000060,2026-05-04
enr0000400,st6500449,asg0000015,2026-05-04
enr0000401,st6600452,asg0000060,2026-05-04
enr0000402,st6500455,asg0000099,2026-05-04
enr0000403,st6600456,asg0000078,2026-05-04
enr0000404,st6500461,asg0000170,2026-05-04
enr0000405,st6500463,asg0000167,2026-05-04
enr0000406,st6700468,asg0000082,2026-05-04
enr0000407,st6600473,asg0000104,2026-05-04
enr0000408,st6600486,asg0000145,2026-05-04
enr0000409,st6500488,asg0000188,2026-05-04
enr0000410,st6500000,asg0000197,2026-05-05
enr0000411,st6600003,asg0000088,2026-05-05
enr0000412,st6600019,asg0000125,2026-05-05
enr0000413,st6600020,asg0000031,2026-05-05
enr0000414,st6500025,asg0000197,2026-05-05
enr0000415,st6700028,asg0000026,2026-05-05
enr0000416,st6600041,asg0000116,2026-05-05
enr0000417,st6600043,asg0000163,2026-05-05
enr0000418,st6600045,asg0000077,2026-05-05
enr0000419,st6500047,asg0000151,2026-05-05
enr0000420,st6500048,asg0000157,2026-05-05
enr0000421,st6700065,asg0000190,2026-05-05
enr0000422,st6500069,asg0000035,2026-05-05
enr0000423,st6700070,asg0000213,2026-05-05
enr0000424,st6700073,asg0000000,2026-05-05
enr0000425,st6600077,asg0000193,2026-05-05
enr0000426,st6600087,asg0000118,2026-05-05
enr0000427,st6500092,asg0000137,2026-05-05
enr0000428,st6600101,asg0000158,2026-05-05
enr0000429,st6600110,asg0000179,2026-05-05
enr0000430,st6700122,asg0000162,2026-05-05
enr0000431,st6700127,asg0000032,2026-05-05
enr0000432,st6700135,asg0000083,2026-05-05
enr0000433,st6500138,asg0000168,2026-05-05
enr0000434,st6500141,asg0000076,2026-05-05
enr0000435,st6700143,asg0000021,2026-05-05
enr0000436,st6500144,asg0000068,2026-05-05
enr0000437,st6500151,asg0000217,2026-05-05
enr0000438,st6500154,asg0000113,2026-05-05
enr0000439,st6500155,asg0000041,2026-05-05
enr0000440,st6700166,asg0000064,2026-05-05
enr0000441,st6600169,asg0000088,2026-05-05
enr0000442,st6600176,asg0000211,2026-05-05
enr0000443,st6600179,asg0000130,2026-05-05
enr0000444,st6700186,asg0000209,2026-05-05
enr0000445,st6700187,asg0000125,2026-05-05
enr0000446,st6700191,asg0000084,2026-05-05
enr0000447,st6500193,asg0000170,2026-05-05
enr0000448,st6700199,asg0000022,2026-05-05
enr0000449,st6700205,asg0000203,2026-05-05
enr0000450,st6700216,asg0000184,2026-05-05
enr0000451,st6500217,asg0000034,2026-05-05
enr0000452,st6600225,asg0000150,2026-05-05
enr0000453,st6700229,asg0000162,2026-05-05
enr0000454,st6600230,asg0000170,2026-05-05
enr0000455,st6500231,asg0000024,2026-05-05
enr0000456,st6600237,asg0000075,2026-05-05
enr0000457,st6600245,asg0000142,2026-05-05
enr0000458,st6600250,asg0000016,2026-05-05
enr0000459,st6500251,asg0000025,2026-05-05
enr0000460,st6600254,asg0000140,2026-05-05
enr0000461,st6600261,asg0000083,2026-05-05
enr0000462,st6600262,asg0000165,2026-05-05
enr0000463,st6600269,asg0000022,2026-05-05
enr0000464,st6500273,asg0000098,2026-05-05
enr0000465,st6500275,asg0000056,2026-05-05
enr0000466,st6600279,asg0000037,2026-05-05
enr0000467,st6500281,asg0000019,2026-05-05
enr0000468,st6600292,asg0000058,2026-05-05
enr0000469,st6500303,asg0000155,2026-05-05
enr0000470,st6700307,asg0000187,2026-05-05
enr0000471,st6600308,asg0000060,2026-05-05
enr0000472,st6600322,asg0000102,2026-05-05
enr0000473,st6500323,asg0000096,2026-05-05
enr0000474,st6600340,asg0000135,2026-05-05
enr0000475,st6700342,asg0000011,2026-05-05
enr0000476,st6600346,asg0000164,2026-05-05
enr0000477,st6600357,asg0000039,2026-05-05
enr0000478,st6700358,asg0000158,2026-05-05
enr0000479,st6500366,asg0000081,2026-05-05
enr0000480,st6500378,asg0000133,2026-05-05
enr0000481,st6500387,asg0000102,2026-05-05
enr0000482,st6500388,asg0000149,2026-05-05
enr0000483,st6700390,asg0000062,2026-05-05
enr0000484,st6700402,asg0000197,2026-05-05
enr0000485,st6600411,asg0000055,2026-05-05
enr0000486,st6500412,asg0000119,2026-05-05
enr0000487,st6500413,asg0000107,2026-05-05
enr0000488,st6700422,asg0000123,2026-05-05
enr0000489,st6500423,asg0000197,2026-05-05
enr0000490,st6600436,asg0000169,2026-05-05
enr0000491,st6600440,asg0000038,2026-05-05
enr0000492,st6500444,asg0000018,2026-05-05
enr0000493,st6700451,asg0000023,2026-05-05
enr0000494,st6600457,asg0000080,2026-05-05
enr0000495,st6600471,asg0000197,2026-05-05
enr0000496,st6700479,asg0000017,2026-05-05
enr0000497,st6700483,asg0000105,2026-05-05
enr0000498,st6700484,asg0000019,2026-05-05
enr0000499,st6500492,asg0000044,2026-05-05
